"","soc_code","soc_lmi_title","employment","projected_2030","change_employment","percent_change","annual_openings_growth","exits","transfers","total_openings","median_wage","median_wage_symbol","jobsohioregion"
"1267","35-3011","Bartenders","1805",2171,366,0.2028,37,90,241,368,"10.039999999999999",NA,"West"
"1268","35-3023","Fast Food and Counter Workers","15435",16996,1561,0.1011,156,1572,1714,3442,"10.69",NA,"West"
"1269","35-3031","Waiters and Waitresses","5682",6465,783,0.1378,78,446,725,1249,"9.7799999999999994",NA,"West"
"1270","35-3041","Food Servers, Nonrestaurant","1175",1193,18,0.0153,2,94,92,188,"11.89",NA,"West"
"1271","35-9021","Dishwashers","1018",1155,137,0.1346,14,82,91,187,"10.71",NA,"West"
"1272","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","1251",1500,249,0.199,25,163,155,343,"10.34",NA,"West"
"1273","37-0000","Building and Grounds Cleaning and Maintenance Occupations","18837",19197,360,0.0191,36,1057,1403,2496,"14.23",NA,"West"
"1274","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","700",698,-2,-0.0029,0,30,48,78,"21.93",NA,"West"
"1275","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","857",853,-4,-0.0047,0,26,61,87,"22.91",NA,"West"
"1276","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","9395",9614,219,0.0233,22,593,666,1281,"14.18",NA,"West"
"1277","37-2012","Maids and Housekeeping Cleaners","2687",2705,18,0.0067,2,183,174,359,"11.36",NA,"West"
"1278","37-3011","Landscaping and Groundskeeping Workers","4859",4977,118,0.0243,12,212,422,646,"14.49",NA,"West"
"1279","39-0000","Personal Care and Service Occupations","10464",11338,874,0.0835,87,668,824,1579,"11.97",NA,"West"
"1280","39-2021","Nonfarm Animal Caretakers","567",701,134,0.2363,13,41,53,107,"10.91",NA,"West"
"1281","39-3091","Amusement and Recreation Attendants","450",550,100,0.2222,10,49,56,115,"10.46",NA,"West"
"1282","39-5012","Hairdressers, Hairstylists, and Cosmetologists","2200",2174,-26,-0.0118,-3,116,122,235,"13.63",NA,"West"
"1283","39-9011","Childcare Workers","2390",2492,102,0.0427,10,164,171,345,"10.96",NA,"West"
"1284","39-9031","Fitness Trainers and Aerobics Instructors","944",1102,158,0.1674,16,60,97,173,"14.16",NA,"West"
"1285","39-9032","Recreation Workers","1192",1261,69,0.0579,7,72,116,195,"13.88",NA,"West"
"1286","39-9041","Residential Advisors","248",276,28,0.1129,3,13,24,40,"14.62",NA,"West"
"1287","41-0000","Sales and Related Occupations","49738",47327,-2411,-0.0485,-241,2540,3863,6162,"13.99",NA,"West"
"1288","41-1011","First-Line Supervisors of Retail Sales Workers","5086",4557,-529,-0.104,-53,170,334,451,"18.23",NA,"West"
"1289","41-1012","First-Line Supervisors of Non-Retail Sales Workers","1013",936,-77,-0.076,-8,28,58,78,"37.82",NA,"West"
"1290","41-2011","Cashiers","11782",10556,-1226,-0.1041,-123,950,1069,1896,"10.84",NA,"West"
"1291","41-2021","Counter and Rental Clerks","1060",1065,5,0.0047,0,48,73,121,"14.04",NA,"West"
"1292","41-2031","Retail Salespersons","14568",13991,-577,-0.0396,-58,798,1180,1920,"13.16",NA,"West"
"1293","41-3011","Advertising Sales Agents","237",205,-32,-0.135,-3,7,20,24,"21.75",NA,"West"
"1294","41-3021","Insurance Sales Agents","2023",2115,92,0.0455,9,69,116,194,"23.29",NA,"West"
"1295","41-3031","Securities, Commodities, and Financial Services Sales Agents","738",762,24,0.0325,2,17,47,66,"23.53",NA,"West"
"1296","41-3041","Travel Agents","108",112,4,0.037,0,5,7,12,"18.27",NA,"West"
"1297","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","2783",2863,80,0.0287,8,71,248,327,"27.87",NA,"West"
"1298","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","794",826,32,0.0403,3,24,55,82,"37.86",NA,"West"
"1299","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","4993",5150,157,0.0314,16,150,343,509,"29.61",NA,"West"
"1300","41-9022","Real Estate Sales Agents","1237",1243,6,0.0049,1,52,54,107,"17.39",NA,"West"
"1301","41-9031","Sales Engineers","168",175,7,0.0417,1,3,14,18,"47.62",NA,"West"
"1302","41-9099","Sales and Related Workers, All Other","462",422,-40,-0.0866,-4,20,36,52,"13.63",NA,"West"
"1303","43-0000","Office and Administrative Support Occupations","67591",64925,-2666,-0.0394,-267,3147,4064,6944,"17.91",NA,"West"
"1304","43-1011","First-Line Supervisors of Office and Administrative Support Workers","4511",4372,-139,-0.0308,-14,165,271,422,"27.82",NA,"West"
"1305","43-2011","Switchboard Operators, Including Answering Service","132",98,-34,-0.2576,-3,6,7,10,"17.420000000000002",NA,"West"
"1306","43-3011","Bill and Account Collectors","364",340,-24,-0.0659,-2,13,25,36,"18.23",NA,"West"
"1307","43-3021","Billing and Posting Clerks","1468",1459,-9,-0.0061,-1,60,90,149,"17.87",NA,"West"
"1308","43-3031","Bookkeeping, Accounting, and Auditing Clerks","5224",5020,-204,-0.0391,-20,300,262,542,"18.45",NA,"West"
"1309","43-3051","Payroll and Timekeeping Clerks","455",379,-76,-0.167,-8,20,23,35,"22.57",NA,"West"
"1310","43-3061","Procurement Clerks","294",283,-11,-0.0374,-1,8,18,25,"18.350000000000001",NA,"West"
"1311","43-3071","Tellers","1942",1620,-322,-0.1658,-32,72,112,152,"14.38",NA,"West"
"1312","43-4031","Court, Municipal, and License Clerks","1136",1159,23,0.0202,2,56,58,116,"17.87",NA,"West"
"1313","43-4051","Customer Service Representatives","8650",8524,-126,-0.0146,-13,404,675,1066,"17.739999999999998",NA,"West"
"1314","43-4061","Eligibility Interviewers, Government Programs","334",332,-2,-0.006,0,12,17,29,"18.420000000000002",NA,"West"
"1315","43-4071","File Clerks","288",245,-43,-0.1493,-4,14,16,26,"17.739999999999998",NA,"West"
"1316","43-4081","Hotel, Motel, and Resort Desk Clerks","380",431,51,0.1342,5,24,43,72,"11.2",NA,"West"
"1317","43-4111","Interviewers, Except Eligibility and Loan","361",341,-20,-0.0554,-2,20,23,41,"17.739999999999998",NA,"West"
"1318","43-4121","Library Assistants, Clerical","637",583,-54,-0.0848,-5,54,39,88,"11.1",NA,"West"
"1319","43-4131","Loan Interviewers and Clerks","722",709,-13,-0.018,-1,21,42,62,"21.47",NA,"West"
"1320","43-4151","Order Clerks","412",332,-80,-0.1942,-8,16,23,31,"18.13",NA,"West"
"1321","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","563",519,-44,-0.0782,-4,21,33,50,"19.420000000000002",NA,"West"
"1322","43-4171","Receptionists and Information Clerks","3934",3961,27,0.0069,3,220,273,496,"13.82",NA,"West"
"1323","43-4199","Information and Record Clerks, All Other","402",411,9,0.0224,1,17,27,45,"22.3",NA,"West"
"1324","43-5011","Cargo and Freight Agents","266",294,28,0.1053,3,11,17,31,"21.54",NA,"West"
"1325","43-5021","Couriers and Messengers","295",273,-22,-0.0746,-2,12,16,26,"14.28",NA,"West"
"1326","43-5031","Police, Fire, and Ambulance Dispatchers","412",413,1,0.0024,0,14,23,37,"22.92",NA,"West"
"1327","43-5032","Dispatchers, Except Police, Fire, and Ambulance","725",744,19,0.0262,2,26,41,69,"21.04",NA,"West"
"1328","43-5041","Meter Readers, Utilities","100",83,-17,-0.17,-2,3,4,5,"22.68",NA,"West"
"1329","43-5051","Postal Service Clerks","350",318,-32,-0.0914,-3,15,12,24,"24.64",NA,"West"
"1330","43-5052","Postal Service Mail Carriers","1400",1271,-129,-0.0921,-13,46,48,81,"25.21",NA,"West"
"1331","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","176",152,-24,-0.1364,-2,9,5,12,"23.69",NA,"West"
"1332","43-5061","Production, Planning, and Expediting Clerks","2141",2287,146,0.0682,15,79,144,238,"22.82",NA,"West"
"1333","43-5071","Shipping, Receiving, and Traffic Clerks","4450",4248,-202,-0.0454,-20,159,256,395,"17.600000000000001",NA,"West"
"1334","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","207",221,14,0.0676,1,8,12,21,"18.29",NA,"West"
"1335","43-6011","Executive Secretaries and Executive Administrative Assistants","1123",887,-236,-0.2102,-24,51,56,83,"28.37",NA,"West"
"1336","43-6012","Legal Secretaries","405",309,-96,-0.237,-10,18,20,28,"22.4",NA,"West"
"1337","43-6013","Medical Secretaries","2847",3012,165,0.058,16,149,164,329,"17.61",NA,"West"
"1338","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","6477",5875,-602,-0.0929,-60,314,345,599,"17.87",NA,"West"
"1339","43-9021","Data Entry Keyers","407",314,-93,-0.2285,-9,16,23,30,"17.420000000000002",NA,"West"
"1340","43-9022","Word Processors and Typists","132",84,-48,-0.3636,-5,6,6,7,"22.92",NA,"West"
"1341","43-9041","Insurance Claims and Policy Processing Clerks","828",813,-15,-0.0181,-2,29,48,75,"18.059999999999999",NA,"West"
"1342","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","283",249,-34,-0.1201,-3,14,17,28,"14.26",NA,"West"
"1343","43-9061","Office Clerks, General","11192",10684,-508,-0.0454,-51,597,649,1195,"17.739999999999998",NA,"West"
"1344","43-9199","Office and Administrative Support Workers, All Other","425",429,4,0.0094,0,18,30,48,"17.420000000000002",NA,"West"
"1345","45-0000","Farming, Fishing, and Forestry Occupations","2549",2650,101,0.0396,10,109,295,414,"14.76",NA,"West"
"1346","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","162",168,6,0.037,1,6,17,24,"27.78",NA,"West"
"1347","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","1680",1748,68,0.0405,7,73,196,276,"14.29",NA,"West"
"1348","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","289",296,7,0.0242,1,12,33,46,"13.97",NA,"West"
"1349","47-0000","Construction and Extraction Occupations","18334",19160,826,0.0451,83,558,1284,1925,"23.09",NA,"West"
"1350","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","1592",1659,67,0.0421,7,46,105,158,"30.17",NA,"West"
"1351","47-2021","Brickmasons and Blockmasons","177",179,2,0.0113,0,6,11,17,"28.9",NA,"West"
"1352","47-2031","Carpenters","2171",2190,19,0.0088,2,64,136,202,"23.19",NA,"West"
"1353","47-2051","Cement Masons and Concrete Finishers","549",543,-6,-0.0109,-1,13,36,48,"23.09",NA,"West"
"1354","47-2061","Construction Laborers","3774",4075,301,0.0798,30,116,265,411,"18.63",NA,"West"
"1355","47-2073","Operating Engineers and Other Construction Equipment Operators","1655",1687,32,0.0193,3,55,120,178,"23.63",NA,"West"
"1356","47-2111","Electricians","2482",2706,224,0.0902,22,75,190,287,"24.58",NA,"West"
"1357","47-2121","Glaziers","218",231,13,0.0596,1,6,17,24,"22.89",NA,"West"
"1358","47-2141","Painters, Construction and Maintenance","725",755,30,0.0414,3,22,41,66,"22.19",NA,"West"
"1359","47-2152","Plumbers, Pipefitters, and Steamfitters","1038",1087,49,0.0472,5,31,76,112,"28.9",NA,"West"
"1360","47-2181","Roofers","491",512,21,0.0428,2,12,35,49,"22.42",NA,"West"
"1361","47-2221","Structural Iron and Steel Workers","171",182,11,0.0643,1,4,14,19,"28.9",NA,"West"
"1362","47-3013","Helpers--Electricians","237",237,0,0,0,7,21,28,"16.82",NA,"West"
"1363","47-3019","Helpers, Construction Trades, All Other","113",118,5,0.0442,0,3,10,13,"12.28",NA,"West"
"1364","47-4011","Construction and Building Inspectors","234",209,-25,-0.1068,-2,12,13,23,"30.08",NA,"West"
"1365","47-4041","Hazardous Materials Removal Workers","144",160,16,0.1111,2,6,12,20,"22.44",NA,"West"
"1366","47-4051","Highway Maintenance Workers","683",674,-9,-0.0132,-1,27,43,69,"22.66",NA,"West"
"1367","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners","206",212,6,0.0291,1,7,17,25,"23.09",NA,"West"
"1368","49-0000","Installation, Maintenance, and Repair Occupations","21843",23080,1237,0.0566,124,705,1410,2239,"22.83",NA,"West"
"1369","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","1653",1733,80,0.0484,8,49,101,158,"30.87",NA,"West"
"1370","49-2011","Computer, Automated Teller, and Office Machine Repairers","244",238,-6,-0.0246,-1,7,18,24,"18.05",NA,"West"
"1371","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","697",601,-96,-0.1377,-10,23,50,63,"29.06",NA,"West"
"1372","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","115",121,6,0.0522,1,3,6,10,"29.07",NA,"West"
"1373","49-2098","Security and Fire Alarm Systems Installers","109",114,5,0.0459,0,3,9,12,"22.65",NA,"West"
"1374","49-3011","Aircraft Mechanics and Service Technicians","326",379,53,0.1626,5,10,18,33,"27.81",NA,"West"
"1375","49-3021","Automotive Body and Related Repairers","522",519,-3,-0.0057,0,16,31,47,"22.42",NA,"West"
"1376","49-3023","Automotive Service Technicians and Mechanics","2882",2810,-72,-0.025,-7,85,193,271,"18.57",NA,"West"
"1377","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","1226",1307,81,0.0661,8,36,79,123,"22.71",NA,"West"
"1378","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","407",480,73,0.1794,7,13,30,50,"24.18",NA,"West"
"1379","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","121",123,2,0.0165,0,3,7,10,"37.42",NA,"West"
"1380","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","1748",1836,88,0.0503,9,46,122,177,"23.17",NA,"West"
"1381","49-9041","Industrial Machinery Mechanics","1859",2359,500,0.269,50,65,114,229,"24.23",NA,"West"
"1382","49-9043","Maintenance Workers, Machinery","339",393,54,0.1593,5,12,20,37,"23.38",NA,"West"
"1383","49-9044","Millwrights","182",197,15,0.0824,2,6,11,19,"29.07",NA,"West"
"1384","49-9051","Electrical Power-Line Installers and Repairers","406",402,-4,-0.0099,0,8,27,35,"36.47",NA,"West"
"1385","49-9062","Medical Equipment Repairers","141",159,18,0.1277,2,7,9,18,"28.9",NA,"West"
"1386","49-9071","Maintenance and Repair Workers, General","5845",6199,354,0.0606,35,212,351,598,"22.4",NA,"West"
"1387","49-9098","Helpers--Installation, Maintenance, and Repair Workers","276",299,23,0.0833,2,12,24,38,"14.07",NA,"West"
"1388","49-9099","Installation, Maintenance, and Repair Workers, All Other","459",481,22,0.0479,2,17,31,50,"18.239999999999998",NA,"West"
"1389","51-0000","Production Occupations","63155",62810,-345,-0.0055,-34,2315,4458,6739,"18.09",NA,"West"
"1390","51-1011","First-Line Supervisors of Production and Operating Workers","3935",4138,203,0.0516,20,121,272,413,"29.28",NA,"West"
"1391","51-2028","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","2992",3275,283,0.0946,28,126,201,355,"17.510000000000002",NA,"West"
"1392","51-2090","Miscellaneous Assemblers and Fabricators","11027",10279,-748,-0.0678,-75,406,760,1091,"17.63",NA,"West"
"1393","51-3011","Bakers","597",651,54,0.0905,5,35,47,87,"13.91",NA,"West"
"1394","51-3021","Butchers and Meat Cutters","523",518,-5,-0.0096,0,21,39,60,"14.43",NA,"West"
"1395","51-3022","Meat, Poultry, and Fish Cutters and Trimmers","440",456,16,0.0364,2,18,33,53,"14.14",NA,"West"
"1396","51-3092","Food Batchmakers","780",814,34,0.0436,3,37,59,99,"14.38",NA,"West"
"1397","51-3099","Food Processing Workers, All Other","221",224,3,0.0136,0,8,14,22,"13.85",NA,"West"
"1398","51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","457",415,-42,-0.0919,-4,15,27,38,"17.920000000000002",NA,"West"
"1399","51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","2410",2331,-79,-0.0328,-8,75,163,230,"18.09",NA,"West"
"1400","51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1008",1013,5,0.005,0,46,70,116,"18.09",NA,"West"
"1401","51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","146",142,-4,-0.0274,0,5,10,15,"23.05",NA,"West"
"1402","51-4041","Machinists","4057",4419,362,0.0892,36,142,288,466,"22.29",NA,"West"
"1403","51-4052","Pourers and Casters, Metal","110",103,-7,-0.0636,-1,2,7,8,"22.67",NA,"West"
"1404","51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","1949",1773,-176,-0.0903,-18,60,126,168,"17.649999999999999",NA,"West"
"1405","51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1793",1928,135,0.0753,14,60,126,200,"18.05",NA,"West"
"1406","51-4111","Tool and Die Makers","894",881,-13,-0.0145,-1,33,56,88,"23.65",NA,"West"
"1407","51-4121","Welders, Cutters, Solderers, and Brazers","2389",2659,270,0.113,27,66,199,292,"22.47",NA,"West"
"1408","51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","255",253,-2,-0.0078,0,7,20,27,"18.05",NA,"West"
"1409","51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","124",123,-1,-0.0081,0,4,8,12,"17.97",NA,"West"
"1410","51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","731",730,-1,-0.0014,0,24,49,73,"17.48",NA,"West"
"1411","51-5111","Prepress Technicians and Workers","207",184,-23,-0.1111,-2,7,19,24,"18.670000000000002",NA,"West"
"1412","51-5112","Printing Press Operators","1119",962,-157,-0.1403,-16,38,73,95,"18.09",NA,"West"
"1413","51-5113","Print Binding and Finishing Workers","236",185,-51,-0.2161,-5,10,13,18,"14.45",NA,"West"
"1414","51-6011","Laundry and Dry-Cleaning Workers","699",757,58,0.083,6,47,49,102,"11.29",NA,"West"
"1415","51-6031","Sewing Machine Operators","1018",959,-59,-0.058,-6,60,52,106,"14.62",NA,"West"
"1416","51-7011","Cabinetmakers and Bench Carpenters","471",518,47,0.0998,5,19,27,51,"17.91",NA,"West"
"1417","51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","127",131,4,0.0315,0,5,10,15,"14.8",NA,"West"
"1418","51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","292",312,20,0.0685,2,9,22,33,"17.41",NA,"West"
"1419","51-8031","Water and Wastewater Treatment Plant and System Operators","604",555,-49,-0.0811,-5,16,36,47,"23.16",NA,"West"
"1420","51-9011","Chemical Equipment Operators and Tenders","697",703,6,0.0086,1,15,54,70,"22.03",NA,"West"
"1421","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","154",159,5,0.0325,0,3,12,15,"18.23",NA,"West"
"1422","51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","127",124,-3,-0.0236,0,4,9,13,"18.34",NA,"West"
"1423","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","520",518,-2,-0.0038,0,18,39,57,"17.920000000000002",NA,"West"
"1424","51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","282",287,5,0.0177,0,13,22,35,"18.09",NA,"West"
"1425","51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","484",494,10,0.0207,1,13,36,50,"17.48",NA,"West"
"1426","51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","110",119,9,0.0818,1,4,7,12,"18.13",NA,"West"
"1427","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","3613",3149,-464,-0.1284,-46,130,268,352,"18.09",NA,"West"
"1428","51-9081","Dental Laboratory Technicians","124",122,-2,-0.0161,0,6,10,16,"20.86",NA,"West"
"1429","51-9111","Packaging and Filling Machine Operators and Tenders","1801",1881,80,0.0444,8,76,122,206,"17.63",NA,"West"
"1430","51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","977",1051,74,0.0757,7,28,73,108,"18.09",NA,"West"
"1431","51-9161","Computer Numerically Controlled Tool Operators","1915",1895,-20,-0.0104,-2,65,141,204,"21.81",NA,"West"
"1432","51-9162","Computer Numerically Controlled Tool Programmers","302",383,81,0.2682,8,12,25,45,"28.41",NA,"West"
"1433","51-9196","Paper Goods Machine Setters, Operators, and Tenders","723",730,7,0.0097,1,33,48,82,"18.09",NA,"West"
"1434","51-9199","Production Workers, All Other","995",1061,66,0.0663,7,35,76,118,"17.73",NA,"West"
"1435","53-0000","Transportation and Material Moving Occupations","55300",58994,3694,0.0668,369,2602,4510,7481,"17.54",NA,"West"
"1436","53-2012","Commercial Pilots","138",163,25,0.1812,2,6,11,19,"97387","**","West"
"1437","53-3031","Driver/Sales Workers","4298",5158,860,0.2001,86,194,321,601,"10.67",NA,"West"
"1438","53-3032","Heavy and Tractor-Trailer Truck Drivers","10249",10886,637,0.0622,64,433,717,1214,"23.27",NA,"West"
"1439","53-3033","Light Truck or Delivery Services Drivers","3990",4191,201,0.0504,20,168,277,465,"17.690000000000001",NA,"West"
"1440","53-3052","Bus Drivers, Transit and Intercity","369",373,4,0.0108,0,24,18,42,"18.93",NA,"West"
"1441","53-3058","Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","1316",1729,413,0.3138,41,100,76,217,"18.05","^^^","West"
"1442","53-6021","Parking Lot Attendants","286",302,16,0.0559,2,14,30,46,"12.81",NA,"West"
"1443","53-7011","Conveyor Operators and Tenders","109",105,-4,-0.0367,0,3,9,12,"16.079999999999998",NA,"West"
"1444","53-7021","Crane and Tower Operators","168",176,8,0.0476,1,5,13,19,"30.55",NA,"West"
"1445","53-7051","Industrial Truck and Tractor Operators","3163",3369,206,0.0651,21,98,251,370,"18.66",NA,"West"
"1446","53-7061","Cleaners of Vehicles and Equipment","1446",1520,74,0.0512,7,73,132,212,"14.08",NA,"West"
"1447","53-7062","Laborers and Freight, Stock, and Material Movers, Hand","11908",12621,713,0.0599,71,537,1067,1675,"16.420000000000002",NA,"West"
"1448","53-7064","Packers and Packagers, Hand","3533",3435,-98,-0.0277,-10,198,282,470,"13.95",NA,"West"
"1449","53-7065","Stockers and Order Fillers","9342",9669,327,0.035,33,541,927,1501,"14.11",NA,"West"
"1450","53-7081","Refuse and Recyclable Material Collectors","460",501,41,0.0891,4,20,43,67,"18.739999999999998",NA,"West"
"1451","00-0000","Total, All Occupations","345649",359290,13641,0.0395,1364,16034,22919,40317,"17.86",NA,"Southeast"
"1452","11-0000","Management Occupations","31712",33526,1814,0.0572,181,1539,1388,3108,"37.340000000000003",NA,"Southeast"
"1453","11-1011","Chief Executives","195",181,-14,-0.0718,-1,5,8,12,"78.25",NA,"Southeast"
"1454","11-1021","General and Operations Managers","3721",3914,193,0.0519,19,76,237,332,"35.94",NA,"Southeast"
"1455","11-1031","Legislators","321",336,15,0.0467,2,8,16,26,"36208","**","Southeast"
"1456","11-2022","Sales Managers","224",224,0,0,0,4,14,18,"57.28",NA,"Southeast"
"1457","11-3010","Administrative Services and Facilities Managers","467",486,19,0.0407,2,14,24,40,"47.73","^","Southeast"
"1458","11-3021","Computer and Information Systems Managers","151",160,9,0.0596,1,2,9,12,"56.99",NA,"Southeast"
"1459","11-3031","Financial Managers","661",761,100,0.1513,10,15,36,61,"49.32",NA,"Southeast"
"1460","11-3051","Industrial Production Managers","605",620,15,0.0248,2,12,29,43,"47.24",NA,"Southeast"
"1461","11-3071","Transportation, Storage, and Distribution Managers","311",346,35,0.1125,4,6,18,28,"37.340000000000003",NA,"Southeast"
"1462","11-3121","Human Resources Managers","109",114,5,0.0459,0,3,6,9,"56.91",NA,"Southeast"
"1463","11-9013","Farmers, Ranchers, and Other Agricultural Managers","19850",20745,895,0.0451,90,1252,705,2047,"35.119999999999997","^","Southeast"
"1464","11-9021","Construction Managers","562",621,59,0.105,6,12,30,48,"43.49",NA,"Southeast"
"1465","11-9032","Education Administrators, Elementary and Secondary School","809",844,35,0.0433,4,20,38,62,"94315","**","Southeast"
"1466","11-9033","Education Administrators, Postsecondary","235",243,8,0.034,1,6,11,18,"45.96",NA,"Southeast"
"1467","11-9051","Food Service Managers","656",729,73,0.1113,7,21,55,83,"23.35",NA,"Southeast"
"1468","11-9081","Lodging Managers","117",125,8,0.0684,1,5,8,14,"27.8",NA,"Southeast"
"1469","11-9111","Medical and Health Services Managers","897",1128,231,0.2575,23,25,51,99,"38.43",NA,"Southeast"
"1470","11-9141","Property, Real Estate, and Community Association Managers","376",400,24,0.0638,2,15,15,32,"22.38",NA,"Southeast"
"1471","11-9151","Social and Community Service Managers","410",477,67,0.1634,7,13,24,44,"29.01",NA,"Southeast"
"1472","11-9198","Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other","408",427,19,0.0466,2,10,20,32,"59.93","^^^","Southeast"
"1473","13-0000","Business and Financial Operations Occupations","9101",9640,539,0.0592,54,250,555,859,"29.17",NA,"Southeast"
"1474","13-1020","Buyers and Purchasing Agents","550",519,-31,-0.0564,-3,18,34,49,"27.85",NA,"Southeast"
"1475","13-1031","Claims Adjusters, Examiners, and Investigators","141",131,-10,-0.0709,-1,3,7,9,"38.6",NA,"Southeast"
"1476","13-1041","Compliance Officers","373",400,27,0.0724,3,9,21,33,"27.21",NA,"Southeast"
"1477","13-1051","Cost Estimators","449",450,1,0.0022,0,13,27,40,"29.11",NA,"Southeast"
"1478","13-1071","Human Resources Specialists","844",886,42,0.0498,4,23,58,85,"27.4",NA,"Southeast"
"1479","13-1075","Labor Relations Specialists","314",270,-44,-0.1401,-4,8,19,23,"30.35",NA,"Southeast"
"1480","13-1081","Logisticians","281",372,91,0.3238,9,7,21,37,"37.03",NA,"Southeast"
"1481","13-1111","Management Analysts","384",451,67,0.1745,7,13,24,44,"36.43",NA,"Southeast"
"1482","13-1121","Meeting, Convention, and Event Planners","164",168,4,0.0244,0,5,12,17,"28.94",NA,"Southeast"
"1483","13-1131","Fundraisers","166",183,17,0.1024,2,5,11,18,"27.36",NA,"Southeast"
"1484","13-1151","Training and Development Specialists","360",397,37,0.1028,4,11,23,38,"23.15",NA,"Southeast"
"1485","13-1161","Market Research Analysts and Marketing Specialists","598",701,103,0.1722,10,15,48,73,"23.76",NA,"Southeast"
"1486","13-1198","Project Management Specialists and Business Operations Specialists, All Other","1422",1488,66,0.0464,7,34,71,112,"35.9","^^^","Southeast"
"1487","13-2011","Accountants and Auditors","1750",1850,100,0.0571,10,50,107,167,"29.66",NA,"Southeast"
"1488","13-2052","Personal Financial Advisors","312",351,39,0.125,4,8,16,28,"35.619999999999997",NA,"Southeast"
"1489","13-2072","Loan Officers","386",387,1,0.0026,0,8,21,29,"30.37",NA,"Southeast"
"1490","13-2098","Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","224",237,13,0.058,1,4,13,18,"35.21","^^^","Southeast"
"1491","15-0000","Computer and Mathematical Occupations","2599",2808,209,0.0804,21,54,134,209,"29.89",NA,"Southeast"
"1492","15-1211","Computer Systems Analysts","218",234,16,0.0734,2,4,11,17,"36.049999999999997",NA,"Southeast"
"1493","15-1231","Computer Network Support Specialists","278",290,12,0.0432,1,5,15,21,"28.9",NA,"Southeast"
"1494","15-1232","Computer User Support Specialists","573",602,29,0.0506,3,11,31,45,"22.44",NA,"Southeast"
"1495","15-1244","Network and Computer Systems Administrators","451",460,9,0.02,1,8,22,31,"36.89",NA,"Southeast"
"1496","15-1256","Software Developers and Software Quality Assurance Analysts and Testers","420",490,70,0.1667,7,11,22,40,"49.49","^^^","Southeast"
"1497","15-1299","Computer Occupations, All Other","173",185,12,0.0694,1,4,9,14,"36.049999999999997",NA,"Southeast"
